,OSD_root,APH_NahG,same_sign,conserved
BioMone,24.66806691393416,3.012656939135339,True,True
Nitrogen,17.01929298533153,1.2388482023892011,True,True
Wounding,12.482315845813332,0.2391054808435118,True,False
Cold,8.744332950873833,0.8258988015928008,True,True
Herbicide,6.341611131314802,0.0,False,False
DrouSaTic,3.8545732722007857,1.2561095748678186,True,True
Radiation,2.734944977964856,1.100874173556769,True,False
Genotoxic,1.7171318638298634,0.3027277308811051,True,False
FarRed,0.4256462109183423,-0.9580204198041492,False,False
FeDeficiency,-0.6991400488262784,0.0,False,False
Drought.Light,-3.599851029750484,0.0,False,False
Hypoxia,-6.056044033506577,-0.1376498002654668,True,False
Heat,-7.602420417013536,0.0,False,False
LowPH,-9.118559360254672,0.0,False,False
LighUV,-12.558883054678597,-0.6629449654607812,True,True
