OSD,APH,pearson_r,p,spearman
OSD_root,Main,0.384,0.1575,0.296
OSD_root,MM,-0.154,0.5849,-0.056
OSD_root,NahG,0.778,0.0006,0.753
OSD_root,SA,-0.2,0.474,-0.138
OSD_root,Mock,0.664,0.0069,0.753
OSD_root_Red,Main,0.171,0.5429,0.179
OSD_root_Red,MM,-0.345,0.2072,-0.194
OSD_root_Red,NahG,0.682,0.0051,0.669
OSD_root_Red,SA,-0.411,0.1276,-0.302
OSD_root_Red,Mock,0.561,0.0294,0.613
OSD_root_Blue,Main,0.461,0.0835,0.37
OSD_root_Blue,MM,-0.053,0.85,0.043
OSD_root_Blue,NahG,0.776,0.0007,0.738
OSD_root_Blue,SA,-0.088,0.7541,-0.04
OSD_root_Blue,Mock,0.672,0.0061,0.756
OSD_leaf,Main,0.444,0.0974,0.531
OSD_leaf,MM,0.031,0.9124,0.163
OSD_leaf,NahG,0.646,0.0092,0.709
OSD_leaf,SA,-0.082,0.7724,-0.004
OSD_leaf,Mock,0.647,0.0092,0.706
