,OSD_root,OSD_root_Red,OSD_root_Blue,OSD_leaf,APH_Main,APH_MM,APH_NahG,APH_SA,APH_Mock
BioMone,24.66806691393416,15.366520495232324,33.969613332636,5.212981567137216,0.6995375476466903,-0.1011576263301495,3.012656939135339,-0.0914154797817911,1.195419474133613
Cold,8.744332950873833,3.855277129245915,13.633388772501752,3.0821071633582147,0.2477696404778402,0.0476480077842,0.8258988015928008,0.0,0.4102679111808393
DrouSaTic,3.8545732722007857,4.666262290446192,3.0428842539553798,-5.09845165483902,-0.1570637995200462,-0.6462391983466149,1.2561095748678186,-1.1930459502552897,0.5430433859110732
Drought.Light,-3.599851029750484,-1.9632969455171376,-5.23640511398383,-29.92164889539557,0.0,0.0,0.0,0.0,0.0
FarRed,0.4256462109183423,1.0652346935996646,-0.21394227176298,-19.752335414892336,-0.3806973409227858,-0.1808547366946216,-0.9580204198041492,0.3652333178203606,-0.8637519249458798
FeDeficiency,-0.6991400488262784,2.933046929297814,-4.331327026950371,1.818034218125093,0.0,0.0,0.0,0.0,0.0
Genotoxic,1.7171318638298634,-2.1342071944191634,5.56847092207889,-10.710102049409429,0.7293462209222474,0.8770218520903352,0.3027277308811051,1.242096026661542,0.3964260579446144
Heat,-7.602420417013536,1.5322292622247375,-16.73707009625181,-13.105289097975245,-0.1061869887762172,-0.1429440233526001,0.0,-0.1021028738232858,-0.1126225638535637
Herbicide,6.341611131314802,6.658440353884558,6.024781908745046,-1.4382509333831464,0.0707913258508114,0.0952960155684,0.0,0.0,0.1126225638535637
Hypoxia,-6.056044033506577,0.8415331813314058,-12.95362124834456,-12.066676346881358,-0.1415826517016229,-0.1429440233526001,-0.1376498002654668,-0.2586606136856574,-0.0563112819267818
LighUV,-12.558883054678597,-5.461755476237113,-19.656010633120083,-25.746464578265503,-0.3330625388717782,-0.218872468129431,-0.6629449654607812,-0.3321327289817335,-0.3493840058527735
LowPH,-9.118559360254672,-3.83324003632361,-14.403878684185734,-1.1537619242942427,0.0,0.0,0.0,0.0,0.0
Nitrogen,17.01929298533153,16.75759335557327,17.280992615089787,3.7749051445015755,-0.1061869887762172,-0.5717760934104005,1.2388482023892011,-0.7079132585081149,0.2869193888650314
Radiation,2.734944977964856,5.637152488026199,-0.1672625320964881,1.0064798421140213,0.8140168742242552,0.7147201167630006,1.100874173556769,0.8236298488411722,0.7828654868550684
Wounding,12.482315845813332,13.819413639950405,11.14521805167626,-5.147475357716321,-0.2321823367040362,-0.3953204273935722,0.2391054808435118,-1.0792600822247056,0.2828382562697726
